MirBase Name	BR:BT_549	BR:HS578T	BR:MCF7	BR:MDA_MB_231	BR:T47D	CNS:SF_268	CNS:SF_295	CNS:SF_539	CNS:SNB_19	CNS:SNB_75	CNS:U251	CO:COLO205	CO:HCC_2998	CO:HCT_116	CO:HCT_15	CO:HT29	CO:KM12	CO:SW_620	LE:CCRF_CEM	LE:HL_60	LE:K_562	LE:MOLT_4	LE:RPMI_8226	LE:SR	ME:LOXIMVI	ME:M14	ME:MALME_3M	ME:SK_MEL_2	ME:SK_MEL_28	ME:SK_MEL_5	ME:UACC_257	ME:UACC_62	LC:A549	LC:EKVX	LC:NCI_H226	LC:NCI_H23	LC:NCI_H322M	LC:NCI_H460	LC:NCI_H522	LC:HOP_62	LC:HOP_92	OV:IGROV1	OV:OVCAR_3	OV:OVCAR_4	OV:OVCAR_5	OV:OVCAR_8	OV:SK_OV_3	PR:DU_145	PR:PC_3	RE:786_0	RE:A498	RE:ACHN	RE:CAKI_1	RE:RXF_393	RE:SN12C	RE:TK_10	RE:UO_31
hsa-mir-200b	-3.802	-4.41	-2.775	-3.529	-2.327	-3.639	-3.093	-3.862	-4.306	-3.698	-3.202	0.045	-0.149	-2.773	-1.531	-0.881	-0.557	-2.198	-3.14	-3.167	-1.38	-3.201	-2.905	-2.26	-4.257	-3.98	-3.345	-3.673	-2.607	-3.213	-3.36	-4.594	-2.891	-4.328	-4.374	-3.916	-2.325	-3.176	-3.903	-3.497	-3.606	-4.028	-1.542	-2.88	-2.205	-3.661	-3.045	-3.412	-3.366	-2.486	-2.894	-3.255	-3.599	-1.673	-4.549	-2.478	-2.733
hsa-mir-200a	-3.802	-4.41	-2.841	-3.529	-2.805	-3.639	-3.093	-3.862	-4.306	-3.698	-3.202	-0.682	-0.627	-3.261	-2.339	-1.285	-0.837	-3.241	-3.533	-3.167	-1.38	-3.201	-2.905	-2.26	-4.257	-3.98	-3.345	-3.673	-2.607	-3.213	-3.36	-4.655	-2.891	-4.328	-4.374	-3.916	-2.84	-3.176	-3.903	-3.497	-3.606	-4.028	-2.444	-3.13	-2.5	-3.661	-3.045	-4.032	-3.366	-2.749	-2.894	-3.705	-4.132	-2.187	-4.549	-2.65	-3.324
hsa-mir-429	-3.802	-4.41	2.047	-3.529	2.846	-3.639	-3.093	-3.862	-4.306	-3.698	-3.202	4.025	2.782	1.158	1.7	3.731	3.656	1.621	-3.545	-3.167	-1.38	-3.201	-2.053	-2.26	-2.139	-3.98	-3.345	-3.673	-2.607	-3.213	-3.36	-4.655	-2.584	-0.353	-2.718	-3.916	2.667	-3.176	-3.903	-3.497	-1.135	-0.742	1.763	2.03	2.355	-2.994	-0.688	0.408	-0.851	2.035	-0.658	-0.598	-0.063	1.738	-4.549	1.079	1.068
hsa-mir-34a	-3.802	-4.41	-3.695	-3.529	-2.187	-3.639	-3.093	-3.862	-4.306	-3.698	-3.202	-3.366	-3.615	-3.021	-3.453	-4.097	-3.687	-4.388	-3.545	-3.167	-1.38	-3.201	-2.905	-2.26	-3.534	-3.98	-2.564	-3.673	-2.446	-2.916	-0.864	-2.44	-2.643	-4.328	-1.819	-1.575	-3.412	-3.126	-3.903	-3.497	-3.606	-1.614	-3.07	-3.454	-3.785	-3.661	-3.045	-4.34	-3.366	-3.624	-2.894	-1.815	-3.104	-3.318	-4.549	-2.501	-1.894
hsa-mir-30e	0.356	0.021	1.179	1.082	1.553	0.702	0.51	0.421	0.469	1.551	0.919	1.515	0.882	0.973	0.971	0.75	0.618	0.911	2.039	2.948	1.417	2.275	1.793	0.763	0.477	1.341	0.551	0.665	0.857	0.481	0.919	0.543	0.659	1.797	1.265	1.167	1.217	0.376	1.712	0.558	0.74	0.989	0.321	1.512	0.097	0.708	0.518	0.6	1.19	-0.103	0.688	1.526	0.794	-0.072	1.257	1.349	1.273
hsa-mir-30c-1	1.665	-0.077	1.035	2.616	1.852	1.615	0.688	0.353	0.722	2.24	1.917	0.918	0.027	0.712	0.978	-0.039	-0.218	0.589	2.11	2.743	0.311	1.303	0.703	-0.191	0.738	1.272	-0.253	0.193	0.119	-0.339	0.641	1.23	0.869	1.394	1.795	1.259	1.656	1.046	2.508	1.869	1.001	3.712	1.979	2.388	0.831	2.17	2.829	1.058	0.455	1.004	1.038	3.681	3.1	0.49	2.173	2.786	3.384
hsa-mir-101-1	-0.225	-1.469	0.46	-0.577	1.189	-1.44	-0.734	-0.155	-1.007	-0.327	-0.451	0.028	0.001	0.023	-0.038	0.05	0.012	0.048	-0.86	1.884	0.481	1.01	0.535	0.365	0.408	-0.151	-0.088	0.425	-0.3	-0.082	-0.413	-0.337	0.422	-1.238	-1.374	0.008	-0.464	-0.554	-0.471	0.318	-0.587	-0.129	-0.83	-0.257	-0.226	-0.501	-0.536	-0.549	1.036	-0.407	-1.407	-0.902	-0.728	-1.111	-0.868	-0.411	-0.769
hsa-mir-186	-1.191	-1.487	-1.936	-2.084	-1.506	-1.891	-2.277	-0.497	-1.2	-1.454	-1.24	-2.063	-0.531	-1.041	-1.529	-0.774	-0.948	-1.762	-0.835	0.643	-1.241	-1.346	-1.407	-1.818	-1.454	-0.553	-1.582	-1.398	-0.774	-1.377	0.146	-2.138	-2.142	-1.337	-1.029	-0.715	-1.078	-0.424	-1.92	-2.883	-1.681	-0.914	-1.448	-1.697	-2.383	-1.988	-3.045	-1.12	-0.859	-2.2	-2.661	-2.835	-1.279	-1.458	-2.51	-1.136	-1.729
hsa-mir-760	-1.618	-4.41	-4.002	-3.529	-3.412	-2.899	-2.214	-3.862	-4.306	-3.698	-2.981	-3.647	-3.421	-2.938	-3.325	-4.116	-3.687	-2.79	-0.955	-2.166	-1.38	-3.201	-2.905	-2.26	-1.839	-2.459	-3.345	-3.673	-2.607	-3.213	-3.36	-1.884	-2.891	-4.328	-3.605	-3.916	-4.285	-2.145	-3.903	-3.497	-3.606	-2.1	-3.07	-3.454	-3.785	-2.428	-3.045	-2.676	-3.366	-3.624	-2.894	-1.946	-2.799	-3.496	-2.824	-3.162	-2.09
hsa-mir-137	-0.215	0.847	-4.002	-3.485	-3.412	0.491	-3.093	-0.421	-1.481	-1.655	-3.202	-3.647	-3.615	-3.398	-3.453	-4.116	-3.687	-4.388	-3.545	-3.167	-1.38	-3.201	-2.905	-2.148	-0.128	-3.98	-3.345	-3.673	-2.607	-3.213	-3.36	-3.306	-0.649	-0.292	-4.374	-3.916	-0.543	-3.176	1.915	-0.773	-3.606	-4.028	-3.07	-3.454	-3.785	-3.661	-0.062	-4.34	-3.366	-3.624	-2.894	-3.962	-0.139	-3.496	0.163	-3.162	-0.889
